date,AFE_0 A:10_01,ANS_0 A:10_01,APS_0 A:10_01,APT_0 A:10_01,ARA_0 A:10_01,ASB_0 A:10_01,ASO_0 A:10_01,AUW_0 A:10_01,AUY_0 A:10_01,AVR_0 A:10_01,AWB_0 A:10_01,AWC_0 A:10_01,AWE_0 A:10_01,AWI_0 A:10_01,AWO_0 A:10_01,AYY_0 A:10_01,AZB_0 A:10_01,BAP_0 A:10_01,BAT_0 A:10_01,BBR_0 A:10_01,BCA_0 A:10_01,BO_0 A:10_01,C_0 A:10_01,CA_0 A:10_01,CAP_0 A:10_01,CC_0 A:10_01,CL_0 A:10_01,CO_0 A:10_01,CQD_0 A:10_01,CT_0 A:10_01,CUA_0 A:10_01,CZR_0 A:10_01,DAE_0 A:10_01,DF_0 A:10_01,DH_0 A:10_01,EP_0 A:10_01,FC_0 A:10_01,FN_0 A:10_01,GC_0 A:10_01,HG_0 A:10_01,HO_0 A:10_01,IHW_0 A:10_01,IJ_0 A:10_01,JAA_0 A:10_01,JO_0 A:10_01,KC_0 A:10_01,KI_0 A:10_01,KO_0 A:10_01,KW_0 A:10_01,LA_0 A:10_01,LB_0 A:10_01,LC_0 A:10_01,LH_0 A:10_01,LL_0 A:10_01,LN_0 A:10_01,LP_0 A:10_01,LT_0 A:10_01,LW_0 A:10_01,LX_0 A:10_01,MFE_0 A:10_01,MFW_0 A:10_01,MMB_0 A:10_01,MW_0 A:10_01,ND_0 A:10_01,NG_0 A:10_01,O_0 A:10_01,OQA_0 A:10_01,PL_0 A:10_01,PNL_0 A:10_01,PPC_0 A:10_01,PSA_0 A:10_01,QC_0 A:10_01,QK_0 A:10_01,QS_0 A:10_01,QW_0 A:10_01,RR_0 A:10_01,RS_0 A:10_01,S_0 A:10_01,SB_0 A:10_01,SCO_0 A:10_01,SM_0 A:10_01,TIO_0 A:10_01,TO_0 A:10_01,W_0 A:10_01,W5_0 A:10_01,W6_0 A:10_01,W7_0 A:10_01,WT_0 A:10_01,XA_0 A:10_01,XB_0 A:10_01,XO_0 A:10_01,YUT_0 A:10_01
1/18/17,105.404797,98.85240393,109.7842032,91.94650278,101.9608916,99.75417407,102.5449741,97.91384141,97.92920168,97.54949235,97.98902791,98.70422835,98.22254302,98.61654135,98.31785763,97.93609683,98.63466944,102.7526534,98.21363764,98.38167586,101.4273187,102.212008,102.6001405,100.295421,91.45770871,103.0932595,97.49081255,97.26492671,109.7861382,100.6687099,96.90716071,98.20402614,101.9719652,105.6967985,97.80590707,100.295858,101.3622096,108.5372015,104.3031171,105.0901055,96.01656734,98.84182922,100.7826277,101.5994945,87.29750579,108.588064,101.4004058,100.9965743,109.2391304,108.7776623,99.30112428,104.7007617,102.6771654,114.7894343,102.6108075,104.7285305,100.2849003,97.79387558,110.1780917,110.1029417,105.4827566,94.40441149,106.6976744,99.56681877,99.56681877,109.1295117,97.58587617,102.9337005,101.915236,99.47226614,101.9785423,102.3904382,106.8376068,97.44232698,99.92632161,103.2795419,103.0393921,108.040201,102.2915651,108.0360049,112.4959949,108.2100643,98.13624107,106.0270603,98.20371403,98.57105648,98.21304933,97.38056254,109.093609,95.62513009,104.4451985,76.75438596
1/19/17,108.6766359,98.9495174,111.6784716,94.25671642,103.73769,101.7241847,105.0032441,98.39061119,98.81627575,96.85622991,96.64838013,97.34125218,98.1472767,98.54397583,96.88870068,97.35165295,97.84998631,105.5086766,97.80642516,96.93766875,102.2184193,101.8098248,102.9515109,100.1477105,92.94689888,99.9076639,97.92293602,97.765463,111.0194186,101.2677626,95.13348556,98.64635354,104.1102368,106.4500942,98.26388565,100.295858,101.8316602,109.1816476,103.3845629,104.8491192,96.61415628,98.49057498,101.0856422,102.4505318,86.24325019,109.7161572,102.4309642,100.9342884,106.8236715,108.3618001,98.93649347,105.3536453,103.0314961,113.8549713,100.0657762,104.2006098,98.55175689,97.34452331,109.9094617,107.8856788,104.0177183,93.66273823,107.255814,101.5617824,101.5617824,109.5541401,98.25478165,101.2920991,104.6487981,101.765921,104.7638361,100.0569152,105.8404558,96.1885657,97.75280899,102.3945862,103.6592681,107.5628141,98.39102877,107.4237102,111.5668055,107.0160222,98.9474094,104.1820418,97.63362132,97.27963261,96.84837251,96.89024884,107.2050872,94.81279539,102.9365456,72.49025341
1/20/17,111.0492579,101.0753919,114.3691882,93.33263096,107.4279635,103.6941953,107.9882861,100.8478092,101.2132631,100.0153736,99.00353155,99.73562848,100.5557988,100.8660725,99.04901915,100.4408563,100.8317822,107.9437737,100.2537574,98.66433418,104.925434,100.9767308,103.9353479,100.295421,92.38152395,98.79963066,99.98961349,100.0715052,113.1474318,101.7553636,95.77845834,100.740526,106.7497682,106.4500942,100.7919275,100.591716,102.7118801,112.8404386,103.6764399,105.4315027,98.38325621,100.6960428,101.7522741,104.5902884,85.49755721,111.4992722,104.8362998,100.1375226,107.0048309,109.5351255,98.90610757,104.6789989,102.8346457,115.051084,97.78384942,104.4372639,95.96391263,100.3891687,109.879614,108.4558321,104.1935229,92.86851211,105.7674419,97.05800094,97.05800094,111.5711253,100.6145315,103.3679305,107.0640496,103.7621444,107.2051486,99.48776323,106.3746439,98.19458375,97.69755019,102.2384175,103.8992202,107.2864322,98.39102877,105.7909242,111.7270106,105.5641756,101.4244036,105.3505535,100.4809542,99.57702378,98.90442534,99.98135689,107.6457423,96.63145515,102.7044452,69.292154
1/23/17,111.9166005,100.5807201,115.2351464,88.71220369,109.8881459,105.1269303,108.5150583,100.3325311,100.5489013,99.09173466,98.52709058,99.22069242,99.87840198,100.1404173,98.55605046,99.52244452,99.98432443,109.0867211,99.86351211,97.97182131,104.675359,100.9192761,103.8650738,100.4431315,88.22435537,99.95383195,99.10657857,99.44583482,113.8970728,103.9704653,95.45597195,99.86688353,110.0259759,105.8380414,100.3156297,100.591716,102.2424295,115.4598002,104.6035787,106.3352013,97.36557999,100.6049768,101.3280538,104.3921968,83.54332733,113.1004367,104.7379216,100.2331345,107.4275362,109.6539433,97.69067153,104.6789989,102.3622047,117.3810117,97.84456588,105.2564511,95.5365622,99.41434801,110.7451995,110.2296424,104.427929,85.29242565,104.9767442,98.4484301,98.4484301,110.403397,100.1500138,103.7809786,108.1976821,104.8346139,107.4034157,99.37393284,105.5911681,97.39217653,99.65002763,102.0301926,103.9392122,106.3065327,100.6338372,106.4440386,110.0608779,106.1340593,100.7229037,106.5805658,99.56680227,99.09006844,98.4389892,99.0220475,109.6601655,96.54658436,103.4007465,69.64749838
1/24/17,111.1608183,101.2878276,115.3642016,88.25016096,112.0749747,106.3805734,109.9197839,100.6259279,101.0773709,98.66724473,99.14781651,99.85175649,100.6310651,100.8660725,99.01283796,98.68752468,98.71313776,109.9664527,100.7961541,98.54184891,105.2277041,101.3501867,102.1082221,100.4431315,88.45715681,101.6158818,99.91446158,99.83911334,114.6225319,102.4937308,93.3598104,100.5221154,112.0736057,104.1431262,100.5537786,101.035503,101.8512207,113.2977874,104.1829324,108.7852286,98.14658732,101.4035692,101.9340829,104.9688905,85.1375675,110.8806405,105.2423981,102.1135017,106.7028986,110.6044854,97.47797022,103.998267,102.7165354,119.2374782,98.73507387,107.987075,96.81861349,98.688574,112.187842,109.469438,104.0763198,88.36507204,104.3255814,99.59704549,99.59704549,109.0233546,100.391563,106.735861,109.070244,106.0858284,107.5467413,100,106.2321937,97.99398195,99.63160803,103.3836543,104.6590682,106.3819095,100.3412969,110.1042005,109.9006729,109.4855183,101.4244036,104.9815498,98.49486517,99.69609123,98.85622483,98.63832374,108.6529539,97.10430669,103.0525959,73.91163093
1/25/17,109.9599169,99.93734344,114.6362912,89.63628914,111.5282675,107.9924003,110.9733282,100.0519705,100.8452217,98.4390014,99.28007773,100.0167805,99.20100513,99.48732759,98.94650578,98.43704873,98.47773282,111.1980769,99.07546006,98.22376408,103.4608288,100.1723643,102.9515109,100.1477105,89.14817061,101.2003693,99.10657857,99.07043261,114.2356204,102.925606,92.23110803,99.69068672,111.3910624,105.0376648,99.87597028,101.183432,101.5969349,108.6411444,103.0583474,108.8454752,96.39523756,99.63819136,101.5704654,103.4644988,85.70326562,111.2809316,103.5938822,101.4123478,105.736715,108.4657656,99.8784564,104.239817,106.3385827,119.0256666,97.71807326,107.9279115,96.89933523,98.29130119,111.1630684,105.6684158,102.9628907,88.36507204,103.7209302,101.1386083,101.1386083,110.403397,100.0571103,103.9716162,110.2918308,107.0682105,106.6270688,99.43084804,105.4487179,97.84353059,98.69220851,102.4466424,104.4591082,106.0552764,99.17113603,110.6484624,109.9967959,110.3810499,100.9460223,104.4280443,98.16145016,99.86248036,98.80953059,98.3825079,105.5054176,94.10958029,101.8920937,70.35818713
1/26/17,110.8764179,101.9190651,115.2222652,100.7253146,115.901925,111.0369622,113.4315981,102.2102706,102.7099647,100.6083796,100.6041928,101.3323887,100.9321304,101.1563345,99.78018067,100.0233964,99.65475751,113.7781538,100.4935111,99.43448386,104.6604761,99.02326918,102.2487702,100.4431315,99.31013825,98.43028624,101.0417402,100.9831963,113.8172724,103.3574812,93.5210536,101.6839131,116.4418827,104.0489642,102.1658632,101.3313609,99.44528631,107.4146179,102.3715779,107.3593931,98.08150338,101.365656,101.6916712,104.6920939,84.52044227,110.2256186,104.7486194,100.3287464,106.3405797,107.4855191,100.8811911,103.2736169,103.7007874,115.7612759,94.77838494,106.380558,94.72934473,99.86737255,109.6308825,103.8946055,102.2596723,92.49725166,105.4418605,102.680171,102.680171,108.3864119,102.361118,103.9716162,112.8508804,110.4643641,107.6422916,97.89413773,105.6267806,99.09729188,98.96850249,101.5096304,104.0391922,105.4773869,99.26864944,112.1996091,109.7084268,111.8193279,103.2414963,105.0430504,99.29036522,101.2714452,99.71780887,100.4077166,103.3650929,95.13409195,100.7896166,72.49025341
1/27/17,110.5890994,100.7521861,114.8423907,97.95305824,121.9157042,113.3651565,115.889868,100.7231156,101.0471726,98.82936149,99.03208795,99.73410048,100.2547336,100.2855483,98.10981579,97.93609683,97.84998631,116.3005203,99.96033573,97.91057867,103.5746517,98.44872163,101.8973999,100.1477105,95.84767873,96.72206833,99.89567361,99.5709689,114.1388925,104.2769574,94.48851278,100.568,122.3117548,105.3672316,100.608736,101.3313609,99.7191325,105.9802056,102.2513932,108.0221054,96.69699039,100.3144952,101.3280538,103.7598984,89.07174081,110.9170306,103.8969876,99.91442819,104.8913043,107.2478836,99.78729869,103.054026,105.3543307,114.0418639,95.42602712,107.1769899,94.53941121,97.76616664,109.1035718,102.3108463,101.0876417,91.86153172,104.1860465,101.5013289,101.5013289,107.537155,100.7445965,104.1410718,115.3526901,113.0568805,107.3293641,96.52817302,105.6623932,97.34202608,99.00534168,102.134305,103.5592881,105.4522613,99.12237933,112.1179698,109.9006729,111.7379159,101.7439548,103.4440344,97.47333166,99.6090804,98.03229743,98.63832374,101.7913247,94.07320709,100.1513403,77.46507472
1/30/17,110.77855,100.3500757,116.8567218,97.02897278,121.9157042,113.5442484,116.0654587,100.1950014,100.7282035,97.51109628,98.79161301,99.48962045,99.42680408,99.55989311,97.85654747,96.34974914,96.35908837,116.3005203,98.98785774,97.97408257,103.785528,96.55271474,100.5621926,98.67060561,97.00060015,95.93721145,98.88112285,98.89166965,116.3152697,103.2878239,94.48851278,99.67967442,121.9022289,105.3201507,100.0591617,100.591716,96.94154976,110.8447344,102.6720395,106.6364342,96.09940145,99.76512609,100.1159958,103.6317216,91.46310105,110.007278,103.8703479,99.91442819,102.8381643,106.3270459,98.51109085,100.8581166,105.6692913,116.7081984,97.49544627,105.7752696,93.16239316,96.19376755,110.2477365,104.3380581,101.0876417,91.7555784,102.5581395,97.69276208,97.69276208,103.5031847,99.59259259,105.2213514,115.3526901,113.0568805,106.8205583,96.01593625,104.9145299,97.19303318,99.09743968,101.6657991,102.1595681,102.7889447,99.02486592,112.1179698,107.1451458,111.8464652,101.0273282,101.8450185,95.99879201,99.32362382,97.78075104,97.33792656,103.6168958,92.93957584,99.9192399,80.30782976
1/31/17,111.9942663,101.831056,119.0603825,96.56693006,124.1025329,114.6187996,117.2945937,100.6295954,100.6111852,96.41040882,100.2780487,101.0008126,101.082663,101.1563345,99.66409936,95.76530526,95.26053199,117.2689289,100.3828556,99.70300926,104.8973451,97.24217179,101.1243851,97.78434269,96.53869253,97.09141274,99.21930644,99.35645334,118.9752863,104.4023405,94.64975597,100.1366849,125.0419279,104.613936,100.5171403,100,96.06132987,114.7321998,103.9940708,109.5483519,96.48990511,101.0491555,99.26755512,104.653048,88.9174595,108.8427948,104.9707569,98.79895611,103.7439614,107.3774453,100.2734731,100.2871802,108.7795276,118.1665834,100.2833393,108.9167942,93.99271752,95.62757034,113.5373787,108.0757299,102.3182739,92.60320499,102.0465116,94.21668917,94.21668917,103.7154989,99.83414179,105.5390807,116.3132063,113.9506051,106.4025253,95.95902106,104.7364672,98.88161935,99.49968021,99.27121291,101.4797041,102.9648241,99.70745978,111.9955109,107.2092278,111.5886606,101.2863726,103.5055351,94.95910069,100.9005043,99.56266349,96.25070925,107.3939394,93.97014971,101.1957923,71.42422027
